Name,Brand,Gender,Main_Notes,Accords
Bleu de Chanel,Chanel,Men,"Citrus, Ginger, Sandalwood, Cedar, Labdanum",Fresh Woody
Sauvage,Dior,Men,"Bergamot, Pepper, Ambroxan, Patchouli, Cedar",Fresh Spicy
Aventus,Creed,Men,"Blackcurrant, Bergamot, Pineapple, Birch, Oakmoss",Fruity Chypre
Oud Wood,Tom Ford,Unisex,"Oud, Rosewood, Cardamom, Sandalwood, Vanilla",Woody Oriental
La Vie Est Belle,Lancôme,Women,"Iris, Patchouli, Gourmand, Praline, Vanilla",Floral Gourmand
Black Orchid,Tom Ford,Unisex,"Black Orchid, Patchouli, Truffle, Ylang-Ylang, Sandalwood",Floral Oriental
Acqua di Giò,Giorgio Armani,Men,"Bergamot, Rosemary, Neroli, Patchouli, Musk",Aquatic Fresh
J'adore,Dior,Women,"Rose, Ylang-Ylang, Jasmine, Orchid, Musk",Floral
Chanel No. 5,Chanel,Women,"Aldehydes, Ylang-Ylang, Rose, Jasmine, Sandalwood",Floral Aldehyde
Tobacco Vanille,Tom Ford,Unisex,"Tobacco, Vanilla, Tonka Bean, Cocoa, Dried Fruit",Warm Spicy
Baccarat Rouge 540,Maison Francis Kurkdjian,Unisex,"Saffron, Ambergris, Jasmine, Cedarwood, Fir Resin",Floral Woody Musk
Santal 33,Le Labo,Unisex,"Sandalwood, Cedar, Cardamom, Iris, Leather",Woody
Ombre Nomade,Louis Vuitton,Unisex,"Oud, Rose, Incense, Leather, Benzoin",Woody Oriental
Terre d'Hermès,Hermès,Men,"Grapefruit, Orange, Flint, Patchouli, Vetiver",Woody Fresh
Coco Mademoiselle,Chanel,Women,"Orange, Rose, Jasmine, Patchouli, White Musk",Floral Oriental
Mon Guerlain,Guerlain,Women,"Lavender, Vanilla, Sandalwood, Iris, Bergamot",Floral Oriental
Dylan Blue,Versace,Men,"Fig, Grapefruit, Violet, Papyrus, Musk",Aromatic Fresh
Silver Mountain Water,Creed,Men,"Bergamot, Mandarin, Green Tea, Neroli, Musk",Aquatic Fresh
Flowerbomb,Viktor & Rolf,Women,"Jasmine, Rose, Patchouli, Vanilla, Freesia",Floral Oriental
Very Good Girl,Carolina Herrera,Women,"Red Berries, Rose, Jasmine, Vanilla, Musk",Floral Fruity
Dior Homme Intense,Dior,Men,"Iris, Lavender, Ambrette, Pear, Vetiver",Floral Woody
YSL Libre,Yves Saint Laurent,Women,"Lavender, Mandarin, Jasmine, Musk, Vanilla",Floral Woody
Black Afgano,Nasomatto,Unisex,"Cannabis, Oud, Tobacco, Incense, Resin",Earthy Oriental
Molecule 01,Escentric Molecules,Unisex,"Iso E Super, Cedarwood, Woody Amber",Woody Musk
Aventus for Her,Creed,Women,"Peach, Bergamot, Rose, Musk, Sandalwood",Floral Fruity
Amber Oud,Al Haramain,Unisex,"Oud, Amber, Rose, Sandalwood, Musk",Oriental Woody
Gucci Bloom,Gucci,Women,"Tuberose, Jasmine, Rangoon Creeper, Orris, Musk",Floral
Portrait of a Lady,Frederic Malle,Women,"Rose, Incense, Sandalwood, Patchouli, Raspberry",Floral Woody
Roja Elixir,Roja Dove,Women,"Rose, Jasmine, Ylang-Ylang, Sandalwood, Musk",Floral Oriental
Bal d'Afrique,Byredo,Unisex,"Bergamot, Neroli, Marigold, Musk, Vetiver",Floral Musky
Oud Ispahan,Dior,Unisex,"Oud, Rose, Labdanum, Patchouli, Sandalwood",Woody Oriental
Viking,Creed,Men,"Pink Pepper, Lavender, Bergamot, Sandalwood, Musk",Fresh Aromatic
CH Men,Carolina Herrera,Men,"Tobacco, Tonka Bean, Cedar, Patchouli, Benzoin",Warm Woody
Narciso Rodriguez For Her,Narciso Rodriguez,Women,"Musk, Rose, Vetiver, Sandalwood, Patchouli",Musky Floral
Eternity,Calvin Klein,Women,"Rose, Lily of the Valley, Jasmine, Patchouli, Sandalwood",Floral
Invictus,Paco Rabanne,Men,"Grapefruit, Marine, Jasmine, Guaiac Wood, Oakmoss",Fresh Aquatic
Kilian Love Don't Be Shy,Kilian,Unisex,"Neroli, Iris, Caramel, Vanilla, Musk",Floral Gourmand
Angel,Mugler,Women,"Patchouli, Caramel, Vanilla, Chocolate, Bergamot",Floral Gourmand
Fahrenheit,Dior,Men,"Violet, Leather, Nutmeg, Cedar, Sandalwood",Woody Leather
L'Homme,Yves Saint Laurent,Men,"Ginger, Basil, Bergamot, Cedar, White Pepper",Fresh Spicy
Molecule 02,Escentric Molecules,Unisex,"Ambroxan, Ambergris, Sandalwood, Woody Musk",Woody Amber
Oud Satin Mood,Maison Francis Kurkdjian,Unisex,"Oud, Rose, Iris, Violet, Vanilla",Floral Woody
Interlude Man,Amouage,Men,"Oregano, Rose, Amber, Incense, Leather",Spicy Oriental
